original_relative	target_file	pattern	colors	buckets
44인치/스프트라이프/IMG_7975.HEIC	IMG_7975_그레이-차콜_스트라이프.HEIC	스트라이프	그레이,차콜	그레이:0.620,차콜:0.144,아이보리:0.109,오프화이트:0.083,레드:0.013
44인치/스프트라이프/IMG_7976.HEIC	IMG_7976_스카이블루_스트라이프.HEIC	스트라이프	스카이블루	스카이블루:0.995,블루:0.005
44인치/스프트라이프/IMG_7977.HEIC	IMG_7977_베이지-오렌지_스트라이프.HEIC	스트라이프	베이지,오렌지	오렌지:0.443,베이지:0.400,브라운:0.147,그레이:0.008,차콜:0.002
44인치/스프트라이프/IMG_7978.HEIC	IMG_7978_레드_스트라이프.HEIC	스트라이프	레드	레드:0.814,버건디:0.112,핑크:0.039,퍼플:0.034
44인치/스프트라이프/IMG_7979.HEIC	IMG_7979_그레이-올리브_스트라이프.HEIC	스트라이프	그레이,올리브	올리브:0.540,그레이:0.316,아이보리:0.057,차콜:0.031,그린:0.024
44인치/체크/IMG_7957.HEIC	IMG_7957_오프화이트-버건디_체크.HEIC	체크	오프화이트,버건디	버건디:0.217,레드:0.152,오프화이트:0.135,그레이:0.130,블루:0.115
44인치/체크/IMG_7958.HEIC	IMG_7958_그레이-네이비_체크.HEIC	체크	그레이,네이비	그레이:0.273,네이비:0.269,오프화이트:0.152,블루:0.122,차콜:0.095
44인치/체크/IMG_7959.HEIC	IMG_7959_그레이-블루_체크.HEIC	체크	그레이,블루	그레이:0.288,오프화이트:0.145,차콜:0.140,블루:0.111,브라운:0.105
44인치/체크/IMG_7960.HEIC	IMG_7960_오프화이트-네이비_체크.HEIC	체크	오프화이트,네이비	네이비:0.342,블루:0.327,오프화이트:0.117,그레이:0.109,차콜:0.037
44인치/체크/IMG_7961.HEIC	IMG_7961_오프화이트-스카이블루_체크.HEIC	체크	오프화이트,스카이블루	스카이블루:0.297,그린:0.191,오프화이트:0.167,그레이:0.114,네이비:0.082
44인치/체크/IMG_7985.HEIC	IMG_7985_그레이-레드_체크.HEIC	체크	그레이,레드	레드:0.536,그레이:0.138,아이보리:0.109,베이지:0.094,오렌지:0.044
44인치/체크/IMG_7986.HEIC	IMG_7986_베이지-레드_체크.HEIC	체크	베이지,레드	레드:0.340,베이지:0.166,오렌지:0.155,그레이:0.134,아이보리:0.128
44인치/체크/IMG_7987.HEIC	IMG_7987_아이보리-레드_체크.HEIC	체크	아이보리,레드	레드:0.375,아이보리:0.212,버건디:0.085,오프화이트:0.076,베이지:0.075
44인치/체크/IMG_7988.HEIC	IMG_7988_아이보리-오렌지_체크.HEIC	체크	아이보리,오렌지	아이보리:0.342,그레이:0.145,오렌지:0.115,오프화이트:0.068,블루:0.067
44인치/체크/IMG_7989.HEIC	IMG_7989_오프화이트-블루_체크.HEIC	체크	오프화이트,블루	블루:0.573,네이비:0.223,오프화이트:0.097,그레이:0.068,아이보리:0.018
44인치/체크/IMG_7990.HEIC	IMG_7990_오프화이트-스카이블루_체크.HEIC	체크	오프화이트,스카이블루	스카이블루:0.650,그린:0.153,오프화이트:0.088,블루:0.074,아이보리:0.033
44인치/체크/IMG_7991.HEIC	IMG_7991_블루_체크.HEIC	체크	블루	블루:0.284,오렌지:0.140,네이비:0.120,레드:0.106,브라운:0.092
44인치/체크/IMG_7992.HEIC	IMG_7992_레드_체크.HEIC	체크	레드	레드:0.886,핑크:0.045,버건디:0.043,블루:0.014,오프화이트:0.010
44인치/체크/IMG_7993.HEIC	IMG_7993_블루_체크.HEIC	체크	블루	블루:0.910,아이보리:0.052,그레이:0.021,오프화이트:0.016,레드:0.001
44인치/체크/IMG_7994.HEIC	IMG_7994_블루_체크.HEIC	체크	블루	블루:0.656,네이비:0.295,핑크:0.015,레드:0.014,아이보리:0.008
44인치/체크/IMG_7995.HEIC	IMG_7995_레드_체크.HEIC	체크	레드	레드:0.644,버건디:0.309,핑크:0.021,블루:0.019,오프화이트:0.002
44인치/체크/IMG_7996.HEIC	IMG_7996_그레이-브라운_체크.HEIC	체크	그레이,브라운	브라운:0.285,그레이:0.213,레드:0.141,버건디:0.101,오렌지:0.097
44인치/체크/IMG_7997.HEIC	IMG_7997_베이지-레드_체크.HEIC	체크	베이지,레드	레드:0.346,버건디:0.202,베이지:0.170,그레이:0.094,블루:0.070
44인치/체크/IMG_7998.HEIC	IMG_7998_베이지-버건디_체크.HEIC	체크	베이지,버건디	버건디:0.217,레드:0.184,베이지:0.158,그레이:0.127,네이비:0.097
44인치/체크/IMG_7999.HEIC	IMG_7999_베이지-버건디_체크.HEIC	체크	베이지,버건디	베이지:0.254,버건디:0.217,블루:0.169,레드:0.124,그레이:0.087
44인치/체크/IMG_8001.HEIC	IMG_8001_베이지-올리브_체크.HEIC	체크	베이지,올리브	베이지:0.346,올리브:0.223,오렌지:0.215,옐로:0.131,오프화이트:0.027
44인치/체크/IMG_8002.HEIC	IMG_8002_베이지-레드_체크.HEIC	체크	베이지,레드	레드:0.236,버건디:0.179,네이비:0.116,베이지:0.114,그레이:0.113
44인치/체크/IMG_8003.HEIC	IMG_8003_그레이-네이비_체크.HEIC	체크	그레이,네이비	그레이:0.153,네이비:0.137,블루:0.129,버건디:0.129,오프화이트:0.095
44인치/체크/IMG_8004.HEIC	IMG_8004_베이지-블루_체크.HEIC	체크	베이지,블루	블루:0.346,베이지:0.180,버건디:0.131,네이비:0.086,레드:0.079
44인치/체크/IMG_8005.HEIC	IMG_8005_베이지-올리브_체크.HEIC	체크	베이지,올리브	베이지:0.476,올리브:0.224,오렌지:0.136,옐로:0.104,오프화이트:0.025
44인치/체크/IMG_8006.HEIC	IMG_8006_그레이-레드_체크.HEIC	체크	그레이,레드	레드:0.293,버건디:0.215,그레이:0.120,베이지:0.099,네이비:0.077
44인치/체크/IMG_8007.HEIC	IMG_8007_그레이-레드_체크.HEIC	체크	그레이,레드	레드:0.332,버건디:0.254,그레이:0.131,차콜:0.078,블루:0.043
44인치/체크/IMG_8008.HEIC	IMG_8008_그레이-버건디_체크.HEIC	체크	그레이,버건디	그레이:0.262,버건디:0.186,차콜:0.139,블루:0.093,아이보리:0.088
44인치/체크/IMG_8009.HEIC	IMG_8009_그레이-블루_체크.HEIC	체크	그레이,블루	그레이:0.252,블루:0.235,버건디:0.112,네이비:0.099,아이보리:0.075
44인치/체크/IMG_8010.HEIC	IMG_8010_그레이-네이비_체크.HEIC	체크	그레이,네이비	네이비:0.339,블루:0.282,그레이:0.168,아이보리:0.101,오프화이트:0.041
44인치/체크/IMG_8011.HEIC	IMG_8011_그레이-네이비_체크.HEIC	체크	그레이,네이비	그레이:0.310,네이비:0.158,차콜:0.132,아이보리:0.116,그린:0.116
44인치/체크/IMG_8012.HEIC	IMG_8012_그레이-버건디_체크.HEIC	체크	그레이,버건디	그레이:0.253,버건디:0.189,네이비:0.115,아이보리:0.111,차콜:0.104
44인치/체크/IMG_8013.HEIC	IMG_8013_그레이-버건디_체크.HEIC	체크	그레이,버건디	버건디:0.265,그레이:0.171,레드:0.164,아이보리:0.106,네이비:0.106
44인치/체크/IMG_8014.HEIC	IMG_8014_그레이-블루_체크.HEIC	체크	그레이,블루	그레이:0.300,블루:0.295,네이비:0.155,오프화이트:0.082,차콜:0.081
44인치/체크/IMG_8016.HEIC	IMG_8016_버건디_체크.HEIC	체크	버건디	버건디:0.383,레드:0.295,핑크:0.134,블루:0.117,오프화이트:0.065
58인치/스트라이프/IMG_8021.HEIC	IMG_8021_아이보리-블루_스트라이프.HEIC	스트라이프	아이보리,블루	아이보리:0.468,블루:0.278,그레이:0.132,네이비:0.072,오프화이트:0.050
58인치/스트라이프/IMG_8022.HEIC	IMG_8022_블루_스트라이프.HEIC	스트라이프	블루	블루:0.950,핑크:0.021,오프화이트:0.018,레드:0.009,베이지:0.001
58인치/스트라이프/IMG_8023.HEIC	IMG_8023_버건디_스트라이프.HEIC	스트라이프	버건디	버건디:0.659,레드:0.201,블루:0.088,핑크:0.037,스카이블루:0.011
58인치/스트라이프/IMG_8024.HEIC	IMG_8024_네이비_스트라이프.HEIC	스트라이프	네이비	네이비:0.623,블루:0.297,오프화이트:0.050,베이지:0.016,레드:0.006
58인치/스트라이프/IMG_8025.HEIC	IMG_8025_차콜-네이비_스트라이프.HEIC	스트라이프	차콜,네이비	차콜:0.555,네이비:0.117,그레이:0.107,블루:0.085,아이보리:0.068
58인치/스트라이프/IMG_8026.HEIC	IMG_8026_아이보리-네이비_스트라이프.HEIC	스트라이프	아이보리,네이비	아이보리:0.336,네이비:0.263,블루:0.224,오프화이트:0.172,그레이:0.004
58인치/스트라이프/IMG_8027.HEIC	IMG_8027_아이보리-네이비_스트라이프.HEIC	스트라이프	아이보리,네이비	네이비:0.288,아이보리:0.254,오프화이트:0.190,블루:0.175,레드:0.048
58인치/스트라이프/IMG_8028.HEIC	IMG_8028_오프화이트-버건디_스트라이프.HEIC	스트라이프	오프화이트,버건디	오프화이트:0.333,버건디:0.314,아이보리:0.185,레드:0.130,핑크:0.018
58인치/스트라이프/IMG_8029.HEIC	IMG_8029_오프화이트-블루_스트라이프.HEIC	스트라이프	오프화이트,블루	오프화이트:0.237,블루:0.191,아이보리:0.161,차콜:0.145,네이비:0.126
58인치/스트라이프/IMG_8055.HEIC	IMG_8055_아이보리-블루_스트라이프.HEIC	스트라이프	아이보리,블루	블루:0.251,아이보리:0.249,베이지:0.239,그레이:0.150,오프화이트:0.104
58인치/스트라이프/IMG_8056.HEIC	IMG_8056_아이보리-블루_스트라이프.HEIC	스트라이프	아이보리,블루	아이보리:0.238,그레이:0.196,오프화이트:0.183,베이지:0.166,블루:0.156
